District name EN,District name AR,Population,Males %,Females %,Saudis %,Non Saudis %,Males,Females,Saudis,Non Saudis,Average Income
Al Sharafeyah,الشرفية,19700,0.61,0.39,0.33,0.67,11997,7703,6481,13219,5800
Al Sina'iyah,الصناعية,5700,0.53,0.47,0.42,0.58,3038,2662,2377,3323,4500
Al Surayheah - Ad Diriyah,السرحية - الدرعية,537,0.4,0.6,0.91,0.09,217,320,490,47,0
Al Thlema - Ad Diriyah,الثليما - الدرعية,0,0,0,0,0,0,0,0,0,0
Al Traif - Ad Diriyah,الطريف - الدرعية,0,0,0,0,0,0,0,0,0,0
Al Uraija ,العريجاء,13000,0.55,0.45,0.63,0.37,7202,5798,8216,4784,5700
Al Uraija Al Gharbiyah,العريجاء الغربية,98200,0.51,0.49,0.91,0.09,49886,48314,89657,8543,8000
Al Uraija Al Wusta,العريجاء الوسطى,72500,0.53,0.47,0.91,0.09,38353,34148,65975,6525,7800
Al Uyaynah & Al Jubaylah,العيينة والجبيلة,0,0,0,0,0,0,0,0,0,0
Al Wahah,الواحة,16400,0.51,0.49,0.61,0.39,8380,8020,9955,6445,10600
Al Wisham,الوشام,23600,0.6,0.4,0.1,0.9,14113,9487,2384,21216,5400
Al Wizarat,الوزارات,80200,0.72,0.28,0.05,0.95,57744,22456,4170,76030,3800
Al Wurud,الورود,33000,0.49,0.51,0.64,0.36,16071,16929,21186,11814,12400
Al Wusaita,الوسيطا,3000,0.61,0.39,0.04,0.96,1833,1167,108,2892,2700
Al Zahra,الزهرة,79700,0.61,0.39,0.73,0.27,48936,30764,58340,21360,7500
Al-Aarid,العارض ,34300,0.59,0.41,0.87,0.13,20100,14200,29910,4390,10200
Alawali,العوالي,43000,0.5,0.5,0.93,0.07,21586,21414,39904,3096,8300
Aldobah,الدوبية,2972,0.73,0.27,0.2,0.8,2176,796,600,2372,2000
Al-Falah,الفلاح,38700,0.5,0.5,0.72,0.28,19389,19311,27748,10952,9900
Al-Ghadir,الغدير,27200,0.49,0.51,0.71,0.29,13274,13926,19394,7806,11700
Al-Haeer,الحائر,18200,0.51,0.49,0.83,0.17,9264,8936,15124,3076,5900
Al-Hamra,الحمراء,45900,0.52,0.48,0.78,0.22,23914,21986,35940,9960,11700
Alhazm,الحزم,55500,0.52,0.48,0.89,0.12,29027,26474,49118,6383,8200
Alhuda - Ad Dirah,الهدا - الديرة,3628,0.56,0.45,0.81,0.19,2014,1614,2935,693,8000
Al-Izdihar,الازدهار ,36100,0.52,0.48,0.72,0.29,18736,17364,25812,10289,8700
Al-Khaleej,الخليج,127300,0.53,0.48,0.81,0.19,66833,60468,103368,23932,8000
Al-Khuzama,الخزامى,10400,0.47,0.53,0.71,0.29,4867,5533,7353,3047,15700
Al-Manar,المنار,29100,0.5,0.5,0.85,0.15,14434,14666,24677,4423,9600
Almarqab,المرقب,19600,0.83,0.17,0.14,0.86,16268,3332,2822,16778,2700
Al-Masani,المصانع,1200,0.64,0.36,0,1,770,430,0,1200,2100
Al-Maseef,المصيف,56000,0.48,0.52,0.64,0.36,27048,28952,35728,20272,9200
Almazilh,المعزيلة,26900,0.54,0.46,0.87,0.13,14445,12455,23430,3470,8400
Al-Munsiyah,المونسية,86300,0.5,0.5,0.74,0.26,42805,43495,63517,22783,9000
Al-Mursalat,المرسلات,22700,0.54,0.46,0.46,0.54,12258,10442,10533,12167,9200
Al-Muruj,المروج ,41000,0.52,0.48,0.54,0.46,21484,19516,22058,18942,9700
Al-Mutamarat,المؤتمرات,2700,0.63,0.37,0.57,0.44,1712,988,1526,1175,6800
Al-Nakheel,النخيل,32300,0.49,0.51,0.72,0.29,15892,16408,23095,9206,9800
Al-Safarat,السفارات,8894,0.56,0.44,0.66,0.35,4990,3904,5826,3068,33700
Al-Shemaysi,الشميسي,57100,0.65,0.35,0.37,0.63,36887,20213,21184,35916,3000
Al-Wadi,الوادي ,54700,0.57,0.44,0.74,0.26,30906,23795,40259,14441,8700
Al-Wahah,الواحة,16400,0.51,0.49,0.61,0.39,8380,8020,9955,6445,10600
Al-Wurud,الورود,33000,0.49,0.51,0.64,0.36,16071,16929,21186,11814,12400
Al-Yamamah,اليمامة,60900,0.57,0.43,0.36,0.64,34896,26004,21741,39159,3400
Al-Yarmuk,اليرموك,76900,0.55,0.45,0.84,0.16,42064,34836,64750,12150,9500
Al-yasmin,الياسمين ,103100,0.51,0.49,0.75,0.25,52478,50622,77222,25878,8800
An Nada,الندى ,15800,0.47,0.53,0.75,0.25,7473,8327,11882,3918,10600
An Nafal,النفل ,39700,0.54,0.46,0.63,0.37,21319,18381,25130,14570,9600
An Nahdah,النهضة,84300,0.54,0.46,0.76,0.24,45438,38862,64405,19895,8500
An Nakheel,النخيل,32300,0.49,0.51,0.72,0.29,15892,16408,23095,9206,9800
An Namudhajiyah,النموذجيه,9100,0.52,0.48,0.71,0.29,4741,4359,6488,2612,14700
An Narjis,النرجس,27600,0.6,0.4,0.8,0.2,16450,11150,22052,5548,8300
An Nasim Al-Gharbi,النسيم الغربي,175300,0.58,0.42,0.68,0.33,101674,73626,118328,56973,6500
An Nasim Ash Sharqi,النسيم الشرقي,142600,0.57,0.43,0.79,0.21,81567,61033,112511,30089,7600
An Nasiriyah,الناصرية,3243,0.52,0.48,0.13,0.87,1686,1557,422,2821,4100
Ar Rabi,الربيع ,30000,0.49,0.51,0.81,0.19,14790,15210,24330,5670,9900
Ar Rabwah,الربوة,65700,0.51,0.49,0.71,0.29,33704,31996,46844,18856,9500
Ar Rafiah,الرفيعة,12500,0.6,0.4,0.48,0.52,7538,4963,5963,6538,8600
Ar Rawdah,الروضة,93000,0.52,0.48,0.65,0.35,48267,44733,60729,32271,8500
Ar Rimal,الرمال ,6065,0.53,0.47,0.95,0.05,3202,2863,5750,315,11000
As Saadah,السعادة,82100,0.56,0.44,0.86,0.14,46304,35796,70770,11330,7700
As Safa,الصفاء,4800,0.55,0.45,0.7,0.31,2640,2160,3336,1464,9600
As Sahafah,الصحافة ,72300,0.53,0.47,0.72,0.28,38608,33692,52201,20099,9700
As Salam,السلام,79700,0.49,0.52,0.78,0.22,38655,41046,62166,17534,8800
As Salhiyah,الصالحية,8800,0.59,0.41,0.42,0.59,5218,3582,3652,5148,2900
As Sulay,السلي,27700,0.98,0.02,0.03,0.97,27063,637,831,26869,2000
As Sulimaniyah,السليمانية,75500,0.55,0.45,0.3,0.7,41827,33673,22575,52926,9100
As Suwaidi,السويدي,115500,0.65,0.36,0.52,0.48,74498,41003,60060,55440,7100
As Suwaidi Al Gharabi,السويدي الغربي,63600,0.53,0.47,0.84,0.16,33644,29956,53615,9985,8100
Ash Shamal,الشمال,0,0,0,0,0,0,0,0,0,0
Ash Sharq,الشرق ,0,0,0,0,0,0,0,0,0,0
Ash Shifa,الشفاء,76300,0.52,0.48,0.79,0.21,39523,36777,60582,15718,8000
Ash Shuhada - Ad Diriyah,الشهداء - الدرعية,4904,0.55,0.46,0.83,0.17,2673,2231,4051,853,0
At Taawun,التعاون,39500,0.48,0.52,0.72,0.28,19039,20461,28598,10902,10000
Az Zahra,الزهراء,9800,0.54,0.46,0.54,0.46,5312,4488,5331,4469,9100
Badr,بدر,165500,0.66,0.34,0.63,0.37,109396,56105,104762,60739,6400
Banban,بنبان,0,0,0,0,0,0,0,0,0,0
Central Al Uyaynah,العيينة الوسطى,8217,0.47,0.53,0.77,0.23,3837,4380,6360,1857,0
Dahiat Namar,ضاحية نمار,13500,0.58,0.42,0.97,0.03,7817,5684,13122,378,8000
Dhahrat Al Badi'ah,ظهرة البديعة,70200,0.53,0.48,0.77,0.23,36855,33345,54335,15865,7100
Dhahrat Laban,ظهرة لبن,131100,0.53,0.48,0.77,0.23,68828,62273,100423,30677,7900
Dhahrat Namar,ظهرة نمار,23100,0.57,0.43,0.95,0.05,13098,10002,21899,1201,8700
Dirab,ديراب,28100,0.5,0.5,0.97,0.03,14106,13994,27201,899,6400
East Al Jubaylah,الجبيلة الشرقية,0,0,0,0,0,0,0,0,0,0
East Al Khalidiyyah - Ad Diriyah,الخالدية الشرقية - الدرعية,13800,0.47,0.53,0.6,0.4,6541,7259,8266,5534,0
East Al Uyaynah,العيينة الشرقية,418,0.41,0.59,1,0,173,245,418,0,0
East Bodh,بوضة الشرقية,0,0,0,0,0,0,0,0,0,0
Ghubairah,غبيرة,60200,0.6,0.41,0.19,0.82,35819,24381,11137,49063,3800
Hada - Ma'athar,الهدا - المعذر,0,0,0,0,0,0,0,0,0,0
Hijrat Laban,هجرة وادي لبن,34300,0.5,0.5,0.8,0.2,17253,17047,27440,6860,8100
Hittin,حطين,25600,0.53,0.47,0.82,0.18,13491,12109,20992,4608,9700
Hyt,هيت,1700,0.52,0.48,0.57,0.43,886,814,966,734,4800
Imam Muhammad bin Saud University,جامعة الامام محمد بن سعود,0,0,0,0,0,0,0,0,0,0
Irqah,عرقة,22800,0.53,0.47,0.64,0.36,12107,10693,14569,8231,8800
Ishbiliyah,أشبيلية,74800,0.53,0.47,0.85,0.15,39644,35156,63505,11295,11900
